round,event,driver,team,quali_pts,quali_position,grid_position,finish_position,grid_penalty_positions,race_finish_pts,race_gain_pts,race_fl_pts,race_penalty,race_total,sprint_finish_pts,sprint_gain_pts,sprint_fl_pts,sprint_penalty,sprint_total,positive_pts,is_dnf,total_pts
1,Australian Grand Prix,NOR,McLaren,10,1.0,1.0,1.0,0.0,25,0,0,0,25,,,,,,35,False,35
1,Australian Grand Prix,RUS,Mercedes,7,4.0,4.0,3.0,0.0,16,1,0,0,17,,,,,,24,False,24
1,Australian Grand Prix,SAI,Williams,1,10.0,10.0,18.0,0.0,0,0,0,-10,-10,,,,,,1,True,-9
1,Australian Grand Prix,HAM,Ferrari,3,8.0,8.0,10.0,0.0,2,0,0,0,2,,,,,,5,False,5
1,Australian Grand Prix,PIA,McLaren,9,2.0,2.0,9.0,0.0,3,0,0,0,3,,,,,,12,False,12
1,Australian Grand Prix,HUL,Kick Sauber,0,17.0,17.0,7.0,0.0,7,10,0,0,17,,,,,,17,False,17
1,Australian Grand Prix,STR,Aston Martin,0,13.0,13.0,6.0,0.0,9,7,0,0,16,,,,,,16,False,16
1,Australian Grand Prix,LEC,Ferrari,4,7.0,7.0,8.0,0.0,5,0,0,0,5,,,,,,9,False,9
1,Australian Grand Prix,BOR,Kick Sauber,0,15.0,15.0,16.0,0.0,0,0,0,-10,-10,,,,,,0,True,-10
1,Australian Grand Prix,VER,Red Bull Racing,8,3.0,3.0,2.0,0.0,20,1,0,0,21,,,,,,29,False,29
1,Australian Grand Prix,ALB,Williams,5,6.0,6.0,5.0,0.0,11,1,0,0,12,,,,,,17,False,17
1,Australian Grand Prix,GAS,Alpine,2,9.0,9.0,11.0,0.0,1,0,0,0,1,,,,,,3,False,3
1,Australian Grand Prix,OCO,Haas F1 Team,0,19.0,19.0,13.0,0.0,1,6,0,0,7,,,,,,7,False,7
1,Australian Grand Prix,HAD,Racing Bulls,0,11.0,11.0,20.0,0.0,0,0,0,-10,-10,,,,,,0,True,-10
1,Australian Grand Prix,ALO,Aston Martin,0,12.0,12.0,17.0,0.0,0,0,0,-10,-10,,,,,,0,True,-10
1,Australian Grand Prix,DOO,Alpine,0,14.0,14.0,19.0,0.0,0,0,0,-10,-10,,,,,,0,True,-10
1,Australian Grand Prix,ANT,Mercedes,0,16.0,16.0,4.0,0.0,13,12,0,0,25,,,,,,25,False,25
1,Australian Grand Prix,TSU,Racing Bulls,6,5.0,5.0,12.0,0.0,1,0,0,0,1,,,,,,7,False,7
1,Australian Grand Prix,BEA,Haas F1 Team,0,20.0,20.0,14.0,0.0,1,6,0,0,7,,,,,,7,False,7
1,Australian Grand Prix,LAW,Red Bull Racing,0,18.0,18.0,15.0,0.0,0,0,0,-10,-10,,,,,,0,True,-10
2,Chinese Grand Prix,NOR,McLaren,8,3.0,3.0,2.0,0.0,20,1,0,0,21,1.0,0.0,0.0,0.0,1.0,30,False,30
2,Chinese Grand Prix,RUS,Mercedes,9,2.0,2.0,3.0,0.0,16,0,0,0,16,5.0,1.0,0.0,0.0,6.0,31,False,31
2,Chinese Grand Prix,SAI,Williams,0,15.0,15.0,10.0,0.0,2,5,0,0,7,0.0,0.0,0.0,0.0,0.0,7,False,7
2,Chinese Grand Prix,HAM,Ferrari,6,5.0,5.0,19.0,0.0,0,0,0,-10,-10,8.0,0.0,0.0,0.0,8.0,14,True,4
2,Chinese Grand Prix,PIA,McLaren,10,1.0,1.0,1.0,0.0,25,0,0,0,25,7.0,1.0,0.0,0.0,8.0,43,False,43
2,Chinese Grand Prix,HUL,Kick Sauber,0,12.0,12.0,15.0,0.0,1,0,0,0,1,0.0,1.0,0.0,0.0,1.0,2,False,2
2,Chinese Grand Prix,STR,Aston Martin,0,14.0,14.0,9.0,0.0,3,5,0,0,8,0.0,1.0,0.0,0.0,1.0,9,False,9
2,Chinese Grand Prix,BOR,Kick Sauber,0,19.0,19.0,14.0,0.0,1,5,0,0,6,0.0,0.0,0.0,0.0,0.0,6,False,6
2,Chinese Grand Prix,LEC,Ferrari,5,6.0,6.0,18.0,0.0,0,0,0,-10,-10,4.0,0.0,0.0,0.0,4.0,9,True,-1
2,Chinese Grand Prix,VER,Red Bull Racing,7,4.0,4.0,4.0,0.0,13,0,0,0,13,6.0,0.0,0.0,0.0,6.0,26,False,26
2,Chinese Grand Prix,ALB,Williams,1,10.0,10.0,7.0,0.0,7,3,0,0,10,0.0,0.0,0.0,0.0,0.0,11,False,11
2,Chinese Grand Prix,GAS,Alpine,0,16.0,16.0,20.0,0.0,0,0,0,-10,-10,0.0,5.0,0.0,0.0,5.0,5,True,-5
2,Chinese Grand Prix,OCO,Haas F1 Team,0,11.0,11.0,5.0,0.0,11,6,0,0,17,0.0,2.0,0.0,0.0,2.0,19,False,19
2,Chinese Grand Prix,HAD,Racing Bulls,4,7.0,7.0,11.0,0.0,1,0,0,0,1,0.0,2.0,0.0,0.0,2.0,7,False,7
2,Chinese Grand Prix,ALO,Aston Martin,0,13.0,13.0,17.0,0.0,0,0,0,-10,-10,0.0,1.0,0.0,0.0,1.0,1,True,-9
2,Chinese Grand Prix,DOO,Alpine,0,18.0,18.0,13.0,0.0,1,5,0,0,6,0.0,0.0,0.0,0.0,0.0,6,False,6
2,Chinese Grand Prix,ANT,Mercedes,3,8.0,8.0,6.0,0.0,9,2,0,0,11,2.0,0.0,0.0,0.0,2.0,16,False,16
2,Chinese Grand Prix,BEA,Haas F1 Team,0,17.0,17.0,8.0,0.0,5,9,0,0,14,0.0,0.0,0.0,0.0,0.0,14,False,14
2,Chinese Grand Prix,TSU,Racing Bulls,2,9.0,9.0,16.0,0.0,0,0,0,0,0,3.0,2.0,0.0,0.0,5.0,7,False,7
2,Chinese Grand Prix,LAW,Red Bull Racing,0,20.0,20.0,12.0,0.0,1,8,0,0,9,0.0,5.0,0.0,0.0,5.0,14,False,14
3,Japanese Grand Prix,NOR,McLaren,9,2.0,2.0,2.0,0.0,20,0,0,0,20,,,,,,29,False,29
3,Japanese Grand Prix,RUS,Mercedes,6,5.0,5.0,5.0,0.0,11,0,0,0,11,,,,,,17,False,17
3,Japanese Grand Prix,SAI,Williams,0,12.0,15.0,14.0,-3.0,1,1,0,0,2,,,,,,2,False,2
3,Japanese Grand Prix,HAM,Ferrari,3,8.0,8.0,7.0,0.0,7,1,0,0,8,,,,,,11,False,11
3,Japanese Grand Prix,PIA,McLaren,8,3.0,3.0,3.0,0.0,16,0,0,0,16,,,,,,24,False,24
3,Japanese Grand Prix,HUL,Kick Sauber,0,16.0,16.0,16.0,0.0,0,0,0,0,0,,,,,,0,False,0
3,Japanese Grand Prix,STR,Aston Martin,0,20.0,20.0,20.0,0.0,0,0,0,0,0,,,,,,0,False,0
3,Japanese Grand Prix,LEC,Ferrari,7,4.0,4.0,4.0,0.0,13,0,0,0,13,,,,,,20,False,20
3,Japanese Grand Prix,BOR,Kick Sauber,0,17.0,17.0,19.0,0.0,0,0,0,0,0,,,,,,0,False,0
3,Japanese Grand Prix,VER,Red Bull Racing,10,1.0,1.0,1.0,0.0,25,0,0,0,25,,,,,,35,False,35
3,Japanese Grand Prix,ALB,Williams,2,9.0,9.0,9.0,0.0,3,0,0,0,3,,,,,,5,False,5
3,Japanese Grand Prix,GAS,Alpine,0,11.0,11.0,13.0,0.0,1,0,0,0,1,,,,,,1,False,1
3,Japanese Grand Prix,OCO,Haas F1 Team,0,18.0,18.0,18.0,0.0,0,0,0,0,0,,,,,,0,False,0
3,Japanese Grand Prix,HAD,Racing Bulls,4,7.0,7.0,8.0,0.0,5,0,0,0,5,,,,,,9,False,9
3,Japanese Grand Prix,ALO,Aston Martin,0,13.0,12.0,11.0,1.0,1,1,0,0,2,,,,,,2,False,2
3,Japanese Grand Prix,DOO,Alpine,0,19.0,19.0,15.0,0.0,1,4,0,0,5,,,,,,5,False,5
3,Japanese Grand Prix,ANT,Mercedes,5,6.0,6.0,6.0,0.0,9,0,0,0,9,,,,,,14,False,14
3,Japanese Grand Prix,BEA,Haas F1 Team,1,10.0,10.0,10.0,0.0,2,0,0,0,2,,,,,,3,False,3
3,Japanese Grand Prix,TSU,Red Bull Racing,0,15.0,14.0,12.0,1.0,1,2,0,0,3,,,,,,3,False,3
3,Japanese Grand Prix,LAW,Racing Bulls,0,14.0,13.0,17.0,1.0,0,0,0,0,0,,,,,,0,False,0
4,Bahrain Grand Prix,RUS,Mercedes,9,2.0,3.0,2.0,-1.0,20,1,0,0,21,,,,,,30,False,30
4,Bahrain Grand Prix,NOR,McLaren,5,6.0,6.0,3.0,0.0,16,3,0,0,19,,,,,,24,False,24
4,Bahrain Grand Prix,SAI,Williams,3,8.0,8.0,19.0,0.0,0,0,0,-10,-10,,,,,,3,True,-7
4,Bahrain Grand Prix,HAM,Ferrari,2,9.0,9.0,5.0,0.0,11,4,0,0,15,,,,,,17,False,17
4,Bahrain Grand Prix,PIA,McLaren,10,1.0,1.0,1.0,0.0,25,0,0,0,25,,,,,,35,False,35
4,Bahrain Grand Prix,HUL,Kick Sauber,0,16.0,16.0,20.0,0.0,0,0,0,-10,-10,,,,,,0,True,-10
