driver,team,season_total,races_entered
VER,Red Bull Racing,646,24
NOR,McLaren,623,24
PIA,McLaren,602,24
RUS,Mercedes,530,24
LEC,Ferrari,395,24
HAM,Ferrari,306,24
ANT,Mercedes,260,24
TSU,Red Bull Racing,152,24
ALB,Williams,145,24
BEA,Haas F1 Team,131,24
OCO,Haas F1 Team,129,24
HAD,Racing Bulls,120,24
HUL,Kick Sauber,119,24
SAI,Williams,117,24
STR,Aston Martin,108,24
ALO,Aston Martin,75,24
LAW,Racing Bulls,74,24
GAS,Alpine,64,24
BOR,Kick Sauber,33,24
COL,Alpine,21,18
DOO,Alpine,-7,6
