round,event,constructor,quali_sum,race_driver_sum,race_penalty,race_total,sprint_driver_sum,sprint_penalty,sprint_total,total_pts
1,Australian Grand Prix,McLaren,19,28,0,28,,,,47
1,Australian Grand Prix,Red Bull Racing,8,11,-5,6,,,,14
1,Australian Grand Prix,Mercedes,7,42,0,42,,,,49
1,Australian Grand Prix,Williams,6,2,-5,-3,,,,3
1,Australian Grand Prix,Aston Martin,0,6,-5,1,,,,1
1,Australian Grand Prix,Kick Sauber,0,7,-5,2,,,,2
1,Australian Grand Prix,Ferrari,7,7,0,7,,,,14
1,Australian Grand Prix,Alpine,2,-9,-5,-14,,,,-12
1,Australian Grand Prix,Racing Bulls,6,-9,-5,-14,,,,-8
1,Australian Grand Prix,Haas F1 Team,0,14,0,14,,,,14
2,Chinese Grand Prix,McLaren,18,46,0,46,9.0,0.0,9.0,73
2,Chinese Grand Prix,Mercedes,12,27,0,27,8.0,0.0,8.0,47
2,Chinese Grand Prix,Red Bull Racing,7,22,0,22,11.0,0.0,11.0,40
2,Chinese Grand Prix,Haas F1 Team,0,31,0,31,2.0,0.0,2.0,33
2,Chinese Grand Prix,Williams,1,17,0,17,0.0,0.0,0.0,18
2,Chinese Grand Prix,Aston Martin,0,-2,-5,-7,2.0,0.0,2.0,-5
2,Chinese Grand Prix,Racing Bulls,6,1,0,1,7.0,0.0,7.0,14
2,Chinese Grand Prix,Alpine,0,-4,-5,-9,5.0,0.0,5.0,-4
2,Chinese Grand Prix,Kick Sauber,0,7,0,7,1.0,0.0,1.0,8
2,Chinese Grand Prix,Ferrari,11,-20,-10,-30,12.0,0.0,12.0,-7
3,Japanese Grand Prix,Red Bull Racing,10,28,0,28,,,,38
3,Japanese Grand Prix,McLaren,17,36,0,36,,,,53
3,Japanese Grand Prix,Ferrari,10,21,0,21,,,,31
3,Japanese Grand Prix,Mercedes,11,20,0,20,,,,31
3,Japanese Grand Prix,Racing Bulls,4,5,0,5,,,,9
3,Japanese Grand Prix,Williams,2,5,0,5,,,,7
3,Japanese Grand Prix,Haas F1 Team,1,2,0,2,,,,3
3,Japanese Grand Prix,Aston Martin,0,2,0,2,,,,2
3,Japanese Grand Prix,Alpine,0,6,0,6,,,,6
3,Japanese Grand Prix,Kick Sauber,0,0,0,0,,,,0
4,Bahrain Grand Prix,McLaren,15,44,0,44,,,,59
4,Bahrain Grand Prix,Mercedes,16,22,0,22,,,,38
4,Bahrain Grand Prix,Ferrari,10,28,0,28,,,,38
4,Bahrain Grand Prix,Red Bull Racing,5,14,0,14,,,,19
4,Bahrain Grand Prix,Alpine,6,8,0,8,,,,14
4,Bahrain Grand Prix,Haas F1 Team,0,23,0,23,,,,23
4,Bahrain Grand Prix,Williams,3,-6,-5,-11,,,,-8
4,Bahrain Grand Prix,Racing Bulls,0,2,0,2,,,,2
4,Bahrain Grand Prix,Aston Martin,0,3,0,3,,,,3
4,Bahrain Grand Prix,Kick Sauber,0,-10,-5,-15,,,,-15
5,Saudi Arabian Grand Prix,McLaren,10,45,0,45,,,,55
5,Saudi Arabian Grand Prix,Red Bull Racing,13,10,-5,5,,,,18
5,Saudi Arabian Grand Prix,Ferrari,11,24,0,24,,,,35
5,Saudi Arabian Grand Prix,Mercedes,14,20,0,20,,,,34
5,Saudi Arabian Grand Prix,Williams,5,10,0,10,,,,15
5,Saudi Arabian Grand Prix,Racing Bulls,0,7,0,7,,,,7
5,Saudi Arabian Grand Prix,Aston Martin,0,3,0,3,,,,3
5,Saudi Arabian Grand Prix,Haas F1 Team,0,9,0,9,,,,9
5,Saudi Arabian Grand Prix,Kick Sauber,0,6,0,6,,,,6
5,Saudi Arabian Grand Prix,Alpine,2,-10,-5,-15,,,,-13
6,Miami Grand Prix,McLaren,16,48,0,48,17.0,0.0,17.0,81
6,Miami Grand Prix,Mercedes,14,27,0,27,8.0,0.0,8.0,49
6,Miami Grand Prix,Red Bull Racing,11,15,0,15,17.0,0.0,17.0,43
6,Miami Grand Prix,Williams,9,16,0,16,-5.0,-5.0,-10.0,15
6,Miami Grand Prix,Ferrari,3,17,0,17,5.0,-5.0,0.0,20
6,Miami Grand Prix,Racing Bulls,0,-9,-5,-14,1.0,0.0,1.0,-13
6,Miami Grand Prix,Haas F1 Team,2,-9,-5,-14,5.0,0.0,5.0,-7
6,Miami Grand Prix,Alpine,0,-2,-5,-7,7.0,0.0,7.0,0
6,Miami Grand Prix,Kick Sauber,0,-7,-5,-12,5.0,0.0,5.0,-7
6,Miami Grand Prix,Aston Martin,0,5,0,5,10.0,-5.0,5.0,10
7,Emilia Romagna Grand Prix,Red Bull Racing,9,38,0,38,,,,47
7,Emilia Romagna Grand Prix,McLaren,17,38,0,38,,,,55
7,Emilia Romagna Grand Prix,Ferrari,0,35,0,35,,,,35
7,Emilia Romagna Grand Prix,Williams,9,18,0,18,,,,27
7,Emilia Romagna Grand Prix,Mercedes,8,-3,-5,-8,,,,0
7,Emilia Romagna Grand Prix,Racing Bulls,2,5,0,5,,,,7
7,Emilia Romagna Grand Prix,Aston Martin,9,2,0,2,,,,11
7,Emilia Romagna Grand Prix,Kick Sauber,0,6,0,6,,,,6
7,Emilia Romagna Grand Prix,Alpine,1,1,0,1,,,,2
7,Emilia Romagna Grand Prix,Haas F1 Team,0,-8,-5,-13,,,,-13
8,Monaco Grand Prix,McLaren,18,41,0,41,,,,59
8,Monaco Grand Prix,Ferrari,16,33,0,33,,,,49
8,Monaco Grand Prix,Red Bull Racing,6,13,0,13,,,,19
8,Monaco Grand Prix,Racing Bulls,7,15,0,15,,,,22
8,Monaco Grand Prix,Haas F1 Team,3,17,0,17,,,,20
8,Monaco Grand Prix,Williams,1,7,0,7,,,,8
8,Monaco Grand Prix,Mercedes,0,4,0,4,,,,4
8,Monaco Grand Prix,Alpine,0,-4,-5,-9,,,,-9
8,Monaco Grand Prix,Kick Sauber,0,3,0,3,,,,3
8,Monaco Grand Prix,Aston Martin,4,-5,-5,-10,,,,-6
9,Spanish Grand Prix,McLaren,19,45,0,45,,,,64
9,Spanish Grand Prix,Ferrari,10,29,0,29,,,,39
9,Spanish Grand Prix,Mercedes,12,3,-5,-2,,,,10
9,Spanish Grand Prix,Kick Sauber,0,22,0,22,,,,22
9,Spanish Grand Prix,Racing Bulls,2,12,0,12,,,,14
9,Spanish Grand Prix,Alpine,3,9,0,9,,,,12
9,Spanish Grand Prix,Aston Martin,1,4,-5,-1,,,,0
9,Spanish Grand Prix,Red Bull Racing,8,9,0,9,,,,17
9,Spanish Grand Prix,Williams,0,-6,-5,-11,,,,-11
9,Spanish Grand Prix,Haas F1 Team,0,0,0,0,,,,0
10,Canadian Grand Prix,Mercedes,17,42,0,42,,,,59
10,Canadian Grand Prix,Red Bull Racing,9,27,0,27,,,,36
10,Canadian Grand Prix,McLaren,12,3,-5,-2,,,,10
10,Canadian Grand Prix,Ferrari,9,23,0,23,,,,32
10,Canadian Grand Prix,Aston Martin,5,7,0,7,,,,12
10,Canadian Grand Prix,Kick Sauber,0,10,0,10,,,,10
10,Canadian Grand Prix,Haas F1 Team,0,11,0,11,,,,11
10,Canadian Grand Prix,Williams,1,-2,-5,-7,,,,-6
10,Canadian Grand Prix,Alpine,0,7,0,7,,,,7
10,Canadian Grand Prix,Racing Bulls,2,-10,-5,-15,,,,-13
11,Austrian Grand Prix,McLaren,18,46,0,46,,,,64
11,Austrian Grand Prix,Ferrari,16,29,0,29,,,,45
11,Austrian Grand Prix,Mercedes,8,1,-5,-4,,,,4
11,Austrian Grand Prix,Racing Bulls,5,11,0,11,,,,16
11,Austrian Grand Prix,Aston Martin,0,14,0,14,,,,14
11,Austrian Grand Prix,Kick Sauber,3,19,0,19,,,,22
11,Austrian Grand Prix,Haas F1 Team,0,14,0,14,,,,14
11,Austrian Grand Prix,Alpine,1,2,0,2,,,,3
11,Austrian Grand Prix,Red Bull Racing,4,-8,-5,-13,,,,-9
11,Austrian Grand Prix,Williams,0,-20,-10,-30,,,,-30
12,British Grand Prix,McLaren,17,47,0,47,,,,64
12,British Grand Prix,Kick Sauber,0,22,-5,17,,,,17
12,British Grand Prix,Ferrari,11,15,0,15,,,,26
12,British Grand Prix,Red Bull Racing,10,12,0,12,,,,22
12,British Grand Prix,Alpine,1,1,-5,-4,,,,-3
12,British Grand Prix,Aston Martin,2,20,0,20,,,,22
12,British Grand Prix,Williams,0,11,0,11,,,,11
12,British Grand Prix,Mercedes,11,-8,-5,-13,,,,-2
12,British Grand Prix,Haas F1 Team,3,10,0,10,,,,13
12,British Grand Prix,Racing Bulls,0,-20,-10,-30,,,,-30
13,Belgian Grand Prix,McLaren,19,46,0,46,13.0,0.0,13.0,78
13,Belgian Grand Prix,Ferrari,8,34,0,34,8.0,0.0,8.0,50
13,Belgian Grand Prix,Red Bull Racing,11,14,0,14,10.0,0.0,10.0,35
13,Belgian Grand Prix,Mercedes,5,15,0,15,3.0,0.0,3.0,23
13,Belgian Grand Prix,Williams,6,9,0,9,3.0,0.0,3.0,18
13,Belgian Grand Prix,Racing Bulls,5,6,0,6,3.0,0.0,3.0,14
13,Belgian Grand Prix,Kick Sauber,1,7,0,7,1.0,0.0,1.0,9
13,Belgian Grand Prix,Alpine,0,5,0,5,-4.0,-5.0,-9.0,-4
13,Belgian Grand Prix,Haas F1 Team,0,3,0,3,6.0,0.0,6.0,9
13,Belgian Grand Prix,Aston Martin,0,6,0,6,2.0,0.0,2.0,8
14,Hungarian Grand Prix,McLaren,17,47,0,47,,,,64
14,Hungarian Grand Prix,Mercedes,7,24,0,24,,,,31
14,Hungarian Grand Prix,Ferrari,10,14,0,14,,,,24
14,Hungarian Grand Prix,Aston Martin,11,18,0,18,,,,29
14,Hungarian Grand Prix,Kick Sauber,4,16,0,16,,,,20
14,Hungarian Grand Prix,Racing Bulls,3,7,0,7,,,,10
14,Hungarian Grand Prix,Red Bull Racing,3,6,0,6,,,,9
14,Hungarian Grand Prix,Williams,0,6,0,6,,,,6
14,Hungarian Grand Prix,Haas F1 Team,0,-9,-5,-14,,,,-14
14,Hungarian Grand Prix,Alpine,0,0,0,0,,,,0
15,Dutch Grand Prix,McLaren,19,15,-5,10,,,,29
15,Dutch Grand Prix,Red Bull Racing,8,27,0,27,,,,35
15,Dutch Grand Prix,Racing Bulls,10,18,0,18,,,,28
15,Dutch Grand Prix,Mercedes,6,14,0,14,,,,20
15,Dutch Grand Prix,Williams,2,22,0,22,,,,24
15,Dutch Grand Prix,Haas F1 Team,0,33,0,33,,,,33
15,Dutch Grand Prix,Aston Martin,1,26,0,26,,,,27
15,Dutch Grand Prix,Alpine,0,6,0,6,,,,6
15,Dutch Grand Prix,Kick Sauber,0,5,0,5,,,,5
