round,event,optimal_captain,positive_pts,captained_total,second_driver,second_pts
1,Bahrain Grand Prix,VER,35,70,PER,29
2,Saudi Arabian Grand Prix,VER,35,70,PER,29
3,Australian Grand Prix,SAI,35,70,LEC,28
4,Japanese Grand Prix,VER,35,70,PER,29
5,Chinese Grand Prix,VER,46,92,PER,34
6,Miami Grand Prix,VER,38,76,NOR,35
7,Emilia Romagna Grand Prix,VER,35,70,NOR,28
8,Monaco Grand Prix,LEC,35,70,PIA,29
9,Canadian Grand Prix,VER,35,70,NOR,29
10,Spanish Grand Prix,VER,35,70,NOR,30
11,Austrian Grand Prix,RUS,40,80,PIA,37
12,British Grand Prix,HAM,35,70,VER,29
13,Hungarian Grand Prix,PIA,35,70,NOR,30
14,Belgian Grand Prix,HAM,34,68,VER,30
15,Dutch Grand Prix,NOR,35,70,VER,29
16,Italian Grand Prix,LEC,35,70,PIA,29
17,Azerbaijan Grand Prix,PIA,35,70,LEC,30
18,Singapore Grand Prix,NOR,35,70,VER,29
19,United States Grand Prix,LEC,40,80,SAI,39
20,Mexico City Grand Prix,SAI,35,70,NOR,29
21,São Paulo Grand Prix,VER,46,92,OCO,32
22,Las Vegas Grand Prix,RUS,35,70,HAM,29
23,Qatar Grand Prix,VER,37,74,PIA,34
24,Abu Dhabi Grand Prix,NOR,35,70,LEC,32
