round,locked,1_transfer,2_transfers,perfect
1,304,304,304,304
2,562,582,592,596
3,726,791,872,883
4,1006,1082,1171,1182
5,1365,1464,1553,1564
6,1673,1804,1893,1904
7,1912,2099,2188,2199
8,2113,2392,2484,2495
9,2215,2607,2735,2776
10,2468,2878,3023,3067
11,2771,3223,3376,3420
12,2930,3489,3642,3686
13,3144,3790,3944,3988
14,3357,4086,4240,4284
15,3595,4388,4542,4586
16,3831,4689,4846,4890
17,4000,4977,5134,5178
18,4210,5267,5424,5468
19,4551,5642,5815,5859
20,4796,5921,6115,6159
21,5035,6240,6430,6521
22,5307,6499,6714,6816
23,5567,6811,7043,7145
24,5785,7131,7363,7465
