round,event,constructor,quali_sum,race_driver_sum,race_penalty,race_total,sprint_driver_sum,sprint_penalty,sprint_total,total_pts
10,Spanish Grand Prix,Ferrari,11,20,0,20,,,,31
10,Spanish Grand Prix,Alpine,6,5,0,5,,,,11
10,Spanish Grand Prix,Haas F1 Team,0,3,0,3,,,,3
10,Spanish Grand Prix,Aston Martin,0,2,0,2,,,,2
10,Spanish Grand Prix,Kick Sauber,0,3,0,3,,,,3
10,Spanish Grand Prix,RB,0,4,0,4,,,,4
10,Spanish Grand Prix,Williams,0,2,0,2,,,,2
11,Austrian Grand Prix,Mercedes,14,41,0,41,8.0,0.0,8.0,63
11,Austrian Grand Prix,McLaren,13,25,0,25,14.0,0.0,14.0,52
11,Austrian Grand Prix,Ferrari,12,18,0,18,9.0,0.0,9.0,39
11,Austrian Grand Prix,Red Bull Racing,13,19,0,19,9.0,0.0,9.0,41
11,Austrian Grand Prix,Haas F1 Team,2,21,0,21,2.0,0.0,2.0,25
11,Austrian Grand Prix,RB,0,6,0,6,3.0,0.0,3.0,9
11,Austrian Grand Prix,Alpine,1,6,0,6,0.0,0.0,0.0,7
11,Austrian Grand Prix,Aston Martin,0,5,0,5,2.0,0.0,2.0,7
11,Austrian Grand Prix,Williams,0,2,0,2,3.0,0.0,3.0,5
11,Austrian Grand Prix,Kick Sauber,0,5,0,5,0.0,0.0,0.0,5
12,British Grand Prix,Mercedes,19,16,-5,11,,,,30
12,British Grand Prix,Red Bull Racing,7,25,0,25,,,,32
12,British Grand Prix,McLaren,14,30,0,30,,,,44
12,British Grand Prix,Ferrari,4,14,0,14,,,,18
12,British Grand Prix,Haas F1 Team,5,15,0,15,,,,20
12,British Grand Prix,Aston Martin,4,15,0,15,,,,19
12,British Grand Prix,Williams,2,5,0,5,,,,7
12,British Grand Prix,RB,0,8,0,8,,,,8
12,British Grand Prix,Kick Sauber,0,2,0,2,,,,2
12,British Grand Prix,Alpine,0,-8,-5,-13,,,,-13
13,Hungarian Grand Prix,McLaren,19,46,0,46,,,,65
13,Hungarian Grand Prix,Mercedes,6,32,0,32,,,,38
13,Hungarian Grand Prix,Ferrari,12,24,0,24,,,,36
13,Hungarian Grand Prix,Red Bull Racing,8,27,0,27,,,,35
13,Hungarian Grand Prix,RB,3,5,0,5,,,,8
13,Hungarian Grand Prix,Aston Martin,7,3,0,3,,,,10
13,Hungarian Grand Prix,Haas F1 Team,0,2,0,2,,,,2
13,Hungarian Grand Prix,Williams,0,1,0,1,,,,1
13,Hungarian Grand Prix,Kick Sauber,0,0,0,0,,,,0
13,Hungarian Grand Prix,Alpine,0,-9,-5,-14,,,,-14
14,Belgian Grand Prix,Mercedes,11,17,-5,12,,,,23
14,Belgian Grand Prix,McLaren,11,34,0,34,,,,45
14,Belgian Grand Prix,Ferrari,12,26,0,26,,,,38
14,Belgian Grand Prix,Red Bull Racing,18,27,0,27,,,,45
14,Belgian Grand Prix,Aston Martin,2,10,0,10,,,,12
14,Belgian Grand Prix,Alpine,1,4,0,4,,,,5
14,Belgian Grand Prix,RB,0,9,0,9,,,,9
14,Belgian Grand Prix,Williams,0,2,0,2,,,,2
14,Belgian Grand Prix,Haas F1 Team,0,4,0,4,,,,4
14,Belgian Grand Prix,Kick Sauber,0,-9,-5,-14,,,,-14
15,Dutch Grand Prix,McLaren,18,38,0,38,,,,56
15,Dutch Grand Prix,Red Bull Racing,15,29,0,29,,,,44
15,Dutch Grand Prix,Ferrari,6,35,0,35,,,,41
15,Dutch Grand Prix,Mercedes,7,18,0,18,,,,25
15,Dutch Grand Prix,Alpine,2,4,0,4,,,,6
15,Dutch Grand Prix,Aston Martin,7,3,0,3,,,,10
15,Dutch Grand Prix,Haas F1 Team,0,4,0,4,,,,4
15,Dutch Grand Prix,RB,0,2,0,2,,,,2
15,Dutch Grand Prix,Williams,1,8,0,8,,,,9
15,Dutch Grand Prix,Kick Sauber,0,0,0,0,,,,0
16,Italian Grand Prix,Ferrari,13,42,0,42,,,,55
16,Italian Grand Prix,McLaren,19,36,0,36,,,,55
16,Italian Grand Prix,Mercedes,13,19,0,19,,,,32
16,Italian Grand Prix,Red Bull Racing,7,15,0,15,,,,22
16,Italian Grand Prix,Williams,2,10,0,10,,,,12
16,Italian Grand Prix,Haas F1 Team,1,5,0,5,,,,6
16,Italian Grand Prix,Aston Martin,0,1,0,1,,,,1
16,Italian Grand Prix,RB,0,-9,-5,-14,,,,-14
16,Italian Grand Prix,Alpine,0,3,0,3,,,,3
16,Italian Grand Prix,Kick Sauber,0,5,0,5,,,,5
17,Azerbaijan Grand Prix,McLaren,9,50,0,50,,,,59
17,Azerbaijan Grand Prix,Ferrari,18,10,-5,5,,,,23
17,Azerbaijan Grand Prix,Mercedes,10,31,0,31,,,,41
17,Azerbaijan Grand Prix,Red Bull Racing,12,2,-5,-3,,,,9
17,Azerbaijan Grand Prix,Aston Martin,3,0,-5,-5,,,,-2
17,Azerbaijan Grand Prix,Williams,3,14,0,14,,,,17
17,Azerbaijan Grand Prix,Haas F1 Team,0,4,0,4,,,,4
17,Azerbaijan Grand Prix,Alpine,0,13,0,13,,,,13
17,Azerbaijan Grand Prix,RB,0,-8,-5,-13,,,,-13
17,Azerbaijan Grand Prix,Kick Sauber,0,4,0,4,,,,4
18,Singapore Grand Prix,McLaren,16,43,0,43,,,,59
18,Singapore Grand Prix,Red Bull Racing,9,25,0,25,,,,34
18,Singapore Grand Prix,Mercedes,15,22,0,22,,,,37
18,Singapore Grand Prix,Ferrari,3,25,0,25,,,,28
18,Singapore Grand Prix,Aston Martin,4,9,0,9,,,,13
18,Singapore Grand Prix,Haas F1 Team,5,-7,-5,-12,,,,-7
18,Singapore Grand Prix,Williams,0,-8,-5,-13,,,,-13
18,Singapore Grand Prix,RB,3,1,0,1,,,,4
18,Singapore Grand Prix,Alpine,0,4,0,4,,,,4
18,Singapore Grand Prix,Kick Sauber,0,9,0,9,,,,9
19,United States Grand Prix,Ferrari,15,49,0,49,15.0,0.0,15.0,79
19,United States Grand Prix,Red Bull Racing,10,25,0,25,10.0,0.0,10.0,45
19,United States Grand Prix,McLaren,16,24,0,24,13.0,0.0,13.0,53
19,United States Grand Prix,Mercedes,5,13,-5,8,8.0,0.0,8.0,21
19,United States Grand Prix,Haas F1 Team,2,9,0,9,4.0,0.0,4.0,15
19,United States Grand Prix,RB,0,14,0,14,0.0,0.0,0.0,14
19,United States Grand Prix,Williams,0,7,0,7,3.0,0.0,3.0,10
19,United States Grand Prix,Alpine,4,1,0,1,2.0,0.0,2.0,7
19,United States Grand Prix,Aston Martin,3,2,0,2,0.0,0.0,0.0,5
19,United States Grand Prix,Kick Sauber,0,0,0,0,0.0,0.0,0.0,0
20,Mexico City Grand Prix,Ferrari,17,42,0,42,,,,59
20,Mexico City Grand Prix,McLaren,8,35,0,35,,,,43
20,Mexico City Grand Prix,Mercedes,11,26,0,26,,,,37
20,Mexico City Grand Prix,Red Bull Racing,9,10,0,10,,,,19
20,Mexico City Grand Prix,Haas F1 Team,5,11,0,11,,,,16
20,Mexico City Grand Prix,Alpine,3,3,0,3,,,,6
20,Mexico City Grand Prix,Aston Martin,0,-6,-5,-11,,,,-11
20,Mexico City Grand Prix,Williams,2,-5,-5,-10,,,,-8
20,Mexico City Grand Prix,Kick Sauber,0,7,0,7,,,,7
20,Mexico City Grand Prix,RB,0,-10,-5,-15,,,,-15
21,São Paulo Grand Prix,Red Bull Racing,0,43,0,43,11.0,0.0,11.0,54
21,São Paulo Grand Prix,Alpine,7,48,0,48,5.0,0.0,5.0,60
21,São Paulo Grand Prix,Mercedes,9,19,0,19,3.0,0.0,3.0,31
21,São Paulo Grand Prix,Ferrari,5,2,-5,-3,10.0,0.0,10.0,12
21,São Paulo Grand Prix,McLaren,13,14,0,14,16.0,0.0,16.0,43
21,São Paulo Grand Prix,RB,14,10,0,10,2.0,0.0,2.0,26
21,São Paulo Grand Prix,Haas F1 Team,0,-6,-5,-11,-5.0,-5.0,-10.0,-21
21,São Paulo Grand Prix,Kick Sauber,0,6,0,6,3.0,0.0,3.0,9
21,São Paulo Grand Prix,Aston Martin,3,-9,-5,-14,0.0,0.0,0.0,-11
21,São Paulo Grand Prix,Williams,4,-20,-10,-30,2.0,0.0,2.0,-24
22,Las Vegas Grand Prix,Mercedes,11,53,0,53,,,,64
22,Las Vegas Grand Prix,Ferrari,16,29,0,29,,,,45
22,Las Vegas Grand Prix,Red Bull Racing,6,18,0,18,,,,24
22,Las Vegas Grand Prix,McLaren,8,17,0,17,,,,25
22,Las Vegas Grand Prix,Haas F1 Team,2,7,0,7,,,,9
22,Las Vegas Grand Prix,RB,4,3,0,3,,,,7
22,Las Vegas Grand Prix,Aston Martin,0,10,0,10,,,,10
22,Las Vegas Grand Prix,Kick Sauber,0,2,0,2,,,,2
22,Las Vegas Grand Prix,Williams,0,-3,-5,-8,,,,-8
22,Las Vegas Grand Prix,Alpine,8,-10,-5,-15,,,,-7
23,Qatar Grand Prix,Red Bull Racing,12,16,-5,11,1.0,0.0,1.0,24
23,Qatar Grand Prix,Ferrari,10,33,0,33,9.0,0.0,9.0,52
23,Qatar Grand Prix,McLaren,15,19,0,19,17.0,0.0,17.0,51
23,Qatar Grand Prix,Mercedes,14,14,0,14,10.0,0.0,10.0,38
23,Qatar Grand Prix,Alpine,0,7,-5,2,3.0,0.0,3.0,5
23,Qatar Grand Prix,Aston Martin,3,-2,-5,-7,1.0,0.0,1.0,-3
23,Qatar Grand Prix,Kick Sauber,0,12,0,12,1.0,0.0,1.0,13
23,Qatar Grand Prix,Haas F1 Team,1,-6,-5,-11,9.0,0.0,9.0,-1
23,Qatar Grand Prix,RB,0,6,0,6,0.0,0.0,0.0,6
23,Qatar Grand Prix,Williams,0,-8,-5,-13,2.0,0.0,2.0,-11
24,Abu Dhabi Grand Prix,McLaren,19,27,0,27,,,,46
24,Abu Dhabi Grand Prix,Ferrari,8,53,0,53,,,,61
24,Abu Dhabi Grand Prix,Mercedes,4,37,0,37,,,,41
24,Abu Dhabi Grand Prix,Red Bull Racing,7,-1,-5,-6,,,,1
24,Abu Dhabi Grand Prix,Alpine,5,10,0,10,,,,15
24,Abu Dhabi Grand Prix,Haas F1 Team,7,5,0,5,,,,12
24,Abu Dhabi Grand Prix,Aston Martin,3,4,0,4,,,,7
24,Abu Dhabi Grand Prix,Williams,0,-2,-5,-7,,,,-7
24,Abu Dhabi Grand Prix,RB,0,-9,-5,-14,,,,-14
24,Abu Dhabi Grand Prix,Kick Sauber,2,-7,-5,-12,,,,-10
