round,event,optimal_captain,positive_pts,captained_total,second_driver,second_pts
1,Bahrain Grand Prix,LEC,35,70,SAI,29
2,Saudi Arabian Grand Prix,VER,35,70,LEC,29
3,Australian Grand Prix,LEC,35,70,PER,29
4,Emilia Romagna Grand Prix,VER,43,86,PER,35
5,Miami Grand Prix,VER,35,70,LEC,30
6,Spanish Grand Prix,VER,35,70,PER,29
7,Monaco Grand Prix,PER,35,70,SAI,29
8,Azerbaijan Grand Prix,VER,35,70,PER,29
9,Canadian Grand Prix,VER,35,70,SAI,29
10,British Grand Prix,SAI,35,70,PER,29
11,Austrian Grand Prix,LEC,42,84,VER,38
12,French Grand Prix,VER,35,70,HAM,29
13,Hungarian Grand Prix,VER,35,70,HAM,29
14,Belgian Grand Prix,VER,48,96,PER,28
15,Dutch Grand Prix,VER,35,70,RUS,29
16,Italian Grand Prix,VER,40,80,SAI,35
17,Singapore Grand Prix,PER,35,70,LEC,30
18,Japanese Grand Prix,VER,35,70,PER,29
19,United States Grand Prix,LEC,34,68,VER,34
20,Mexico City Grand Prix,VER,35,70,HAM,29
21,São Paulo Grand Prix,RUS,43,86,SAI,36
22,Abu Dhabi Grand Prix,VER,35,70,LEC,29
