round,locked,1_transfer,2_transfers,perfect
1,289,289,289,289
2,467,535,571,587
3,642,759,821,847
4,736,1032,1140,1166
5,928,1337,1445,1471
6,1063,1619,1727,1753
7,1227,1918,2026,2052
8,1283,2162,2293,2336
9,1533,2420,2585,2628
10,1690,2657,2858,2915
11,1892,2976,3177,3234
12,2053,3264,3479,3536
13,2233,3574,3789,3846
14,2355,3898,4144,4206
15,2547,4186,4444,4506
16,2793,4565,4823,4885
17,2921,4853,5122,5193
18,3043,5105,5380,5474
19,3226,5390,5666,5775
20,3384,5693,5969,6078
21,3716,6074,6355,6464
22,3824,6323,6604,6756
