driver,team,season_total,races_entered
VER,Red Bull Racing,660,22
LEC,Ferrari,516,22
PER,Red Bull Racing,479,22
RUS,Mercedes,415,22
SAI,Ferrari,404,22
HAM,Mercedes,390,22
NOR,McLaren,187,22
OCO,Alpine,157,22
ALO,Alpine,81,22
VET,Aston Martin,27,20
RIC,McLaren,14,22
STR,Aston Martin,12,22
BOT,Alfa Romeo,9,22
HUL,Aston Martin,6,2
DEV,Williams,3,1
GAS,AlphaTauri,-21,22
MAG,Haas F1 Team,-41,22
MSC,Haas F1 Team,-75,22
ZHO,Alfa Romeo,-78,22
TSU,AlphaTauri,-80,22
ALB,Williams,-81,21
LAT,Williams,-119,22
