constructor,season_total
Red Bull Racing,1114
Ferrari,875
Mercedes,780
Alpine,158
McLaren,141
Aston Martin,-40
Alfa Romeo,-189
AlphaTauri,-216
Haas F1 Team,-246
Williams,-337
