round,event,optimal_captain,positive_pts,captained_total,second_driver,second_pts
1,Bahrain Grand Prix,VER,35,70,PER,29
2,Saudi Arabian Grand Prix,PER,35,70,VER,33
3,Australian Grand Prix,VER,35,70,HAM,29
4,Azerbaijan Grand Prix,PER,44,88,VER,35
5,Miami Grand Prix,VER,35,70,PER,30
6,Monaco Grand Prix,VER,35,70,ALO,29
7,Spanish Grand Prix,VER,35,70,HAM,28
8,Canadian Grand Prix,VER,35,70,ALO,28
9,Austrian Grand Prix,VER,43,86,PER,35
10,British Grand Prix,VER,35,70,NOR,29
11,Hungarian Grand Prix,VER,35,70,NOR,29
12,Belgian Grand Prix,VER,48,96,LEC,29
13,Dutch Grand Prix,VER,35,70,ALO,29
14,Italian Grand Prix,VER,35,70,PER,29
15,Singapore Grand Prix,SAI,35,70,NOR,29
16,Japanese Grand Prix,VER,35,70,NOR,29
17,Qatar Grand Prix,VER,43,86,PIA,37
18,United States Grand Prix,VER,43,86,NOR,34
19,Mexico City Grand Prix,VER,35,70,HAM,29
20,São Paulo Grand Prix,VER,44,88,NOR,35
21,Las Vegas Grand Prix,VER,34,68,LEC,30
22,Abu Dhabi Grand Prix,VER,35,70,LEC,29
