driver,team,season_total,races_entered
VER,Red Bull Racing,795,22
PER,Red Bull Racing,457,22
HAM,Mercedes,396,22
LEC,Ferrari,349,22
NOR,McLaren,346,22
SAI,Ferrari,339,22
ALO,Aston Martin,328,22
RUS,Mercedes,310,22
PIA,McLaren,183,22
STR,Aston Martin,147,22
GAS,Alpine,146,22
OCO,Alpine,80,22
ALB,Williams,72,22
TSU,AlphaTauri,67,22
ZHO,Alfa Romeo,66,22
BOT,Alfa Romeo,54,22
HUL,Haas F1 Team,48,22
RIC,AlphaTauri,31,7
MAG,Haas F1 Team,10,22
LAW,AlphaTauri,10,5
DEV,AlphaTauri,1,10
SAR,Williams,-23,22
