round,event,constructor,quali_sum,race_driver_sum,race_penalty,race_total,sprint_driver_sum,sprint_penalty,sprint_total,total_pts
1,Bahrain Grand Prix,Red Bull Racing,19,45,0,45,,,,64
1,Bahrain Grand Prix,Aston Martin,9,29,0,29,,,,38
1,Bahrain Grand Prix,Ferrari,15,3,-5,-2,,,,13
1,Bahrain Grand Prix,Mercedes,9,20,0,20,,,,29
1,Bahrain Grand Prix,Alfa Romeo,0,9,0,9,,,,9
1,Bahrain Grand Prix,Alpine,2,4,-5,-1,,,,1
1,Bahrain Grand Prix,Williams,0,12,0,12,,,,12
1,Bahrain Grand Prix,AlphaTauri,0,10,0,10,,,,10
1,Bahrain Grand Prix,Haas F1 Team,1,6,0,6,,,,7
1,Bahrain Grand Prix,McLaren,0,-10,-5,-15,,,,-15
2,Saudi Arabian Grand Prix,Red Bull Racing,10,58,0,58,,,,68
2,Saudi Arabian Grand Prix,Aston Martin,13,6,-5,1,,,,14
2,Saudi Arabian Grand Prix,Mercedes,10,26,0,26,,,,36
2,Saudi Arabian Grand Prix,Ferrari,15,21,0,21,,,,36
2,Saudi Arabian Grand Prix,Alpine,5,8,0,8,,,,13
2,Saudi Arabian Grand Prix,Haas F1 Team,0,6,0,6,,,,6
2,Saudi Arabian Grand Prix,AlphaTauri,0,11,0,11,,,,11
2,Saudi Arabian Grand Prix,Alfa Romeo,0,1,0,1,,,,1
2,Saudi Arabian Grand Prix,McLaren,2,3,0,3,,,,5
2,Saudi Arabian Grand Prix,Williams,0,-6,-5,-11,,,,-11
3,Australian Grand Prix,Red Bull Racing,10,51,0,51,,,,61
3,Australian Grand Prix,Mercedes,17,11,-5,6,,,,23
3,Australian Grand Prix,Aston Martin,12,32,0,32,,,,44
3,Australian Grand Prix,McLaren,0,29,0,29,,,,29
3,Australian Grand Prix,Haas F1 Team,1,0,-5,-5,,,,-4
3,Australian Grand Prix,Alfa Romeo,0,20,0,20,,,,20
3,Australian Grand Prix,AlphaTauri,0,-6,-5,-11,,,,-11
3,Australian Grand Prix,Ferrari,10,-9,-5,-14,,,,-4
3,Australian Grand Prix,Alpine,2,-20,-10,-30,,,,-28
3,Australian Grand Prix,Williams,3,-20,-10,-30,,,,-27
4,Azerbaijan Grand Prix,Red Bull Racing,17,47,0,47,15.0,0.0,15.0,79
4,Azerbaijan Grand Prix,Ferrari,17,27,0,27,11.0,0.0,11.0,55
4,Azerbaijan Grand Prix,Aston Martin,7,24,0,24,7.0,0.0,7.0,38
4,Azerbaijan Grand Prix,Mercedes,6,17,0,17,7.0,0.0,7.0,30
4,Azerbaijan Grand Prix,McLaren,5,4,0,4,1.0,0.0,1.0,10
4,Azerbaijan Grand Prix,AlphaTauri,3,-8,-5,-13,-1.0,-5.0,-6.0,-16
4,Azerbaijan Grand Prix,Williams,0,1,0,1,-5.0,-5.0,-10.0,-9
4,Azerbaijan Grand Prix,Haas F1 Team,0,7,0,7,2.0,0.0,2.0,9
4,Azerbaijan Grand Prix,Alpine,0,9,0,9,4.0,0.0,4.0,13
4,Azerbaijan Grand Prix,Alfa Romeo,0,-10,-5,-15,2.0,0.0,2.0,-13
5,Miami Grand Prix,Red Bull Racing,12,53,0,53,,,,65
5,Miami Grand Prix,Aston Martin,9,23,0,23,,,,32
5,Miami Grand Prix,Mercedes,5,31,0,31,,,,36
5,Miami Grand Prix,Ferrari,12,18,0,18,,,,30
