round,locked,1_transfer,2_transfers,perfect
1,291,291,291,291
2,567,589,595,599
3,851,873,892,902
4,1185,1232,1262,1277
5,1478,1525,1556,1574
6,1700,1767,1823,1841
7,1980,2056,2113,2141
8,2238,2290,2400,2428
9,2579,2647,2767,2795
10,2816,2922,3028,3101
11,3062,3226,3336,3418
12,3336,3526,3653,3735
13,3597,3778,3908,4014
14,3846,4047,4208,4321
15,4007,4298,4487,4611
16,4159,4541,4762,4888
17,4375,4839,5102,5229
18,4596,5129,5407,5542
19,4742,5400,5688,5835
20,5042,5715,5998,6195
21,5281,5978,6283,6511
22,5477,6208,6536,6789
